ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
6.0,2344.01,842.11,212.52,115.2,169.11,104.78,590.87,250.84,828.48,1064.91,2002.41,1781.17
6.0,2965.67,1066.95,283.88,148.35,207.55,137.8,496.2,387.65,857.05,1114.12,1474.31,1445.31
6.0,3942.25,1559.54,389.74,211.34,272.46,182.22,742.12,400.2,906.02,1105.33,1577.66,1440.53
6.0,4616.11,1607.57,432.87,224.6,306.62,197.03,539.73,189.27,527.49,758.27,1490.43,1415.06
6.0,4251.92,2170.68,526.98,285.11,293.81,186.78,525.58,261.1,614.22,847.01,1468.63,1425.41
7.0,2732.55,1113.96,325.44,169.07,179.36,108.19,474.44,208.65,560.14,818.01,1717.98,1580.61
7.0,2828.81,1061.84,294.07,155.81,197.3,120.72,573.46,339.77,744.82,1017.47,1630.75,1567.08
7.0,3762.47,1165.06,326.22,168.25,231.46,144.64,505.99,231.45,566.26,831.19,1584.3,1531.26
7.0,4537.24,1431.79,411.7,213.0,276.73,158.3,661.6,353.45,852.97,1046.46,1620.32,1298.87
7.0,3765.95,1428.73,407.78,206.37,242.57,148.05,573.46,327.23,680.54,902.36,1388.04,1149.24
7.0,3652.29,1353.1,388.96,194.77,216.94,119.58,646.36,232.59,484.64,664.25,1366.23,1230.42
7.0,1971.7,762.4,269.76,126.81,108.47,58.08,439.61,233.73,465.25,690.61,1339.68,1458.84
7.0,2043.61,626.47,211.73,106.09,121.28,69.47,692.07,367.13,577.49,845.25,1510.34,1344.23
7.0,1878.92,698.01,184.29,96.14,127.26,83.14,526.67,264.52,592.79,841.74,1604.21,1472.37
7.0,3201.12,987.23,268.19,138.41,193.88,119.58,645.28,462.9,754.0,1035.92,1420.27,1419.84
8.0,2962.19,1459.39,363.08,196.42,211.82,142.36,544.08,174.44,471.38,704.67,1702.81,1429.39
8.0,2746.47,1346.97,341.12,179.85,192.17,121.86,402.62,119.72,424.44,674.8,1696.17,1481.12
8.0,2291.82,1141.55,292.5,156.64,153.74,99.08,845.5,415.02,828.48,1107.97,1884.85,1863.94
8.0,2175.83,1036.29,247.8,137.58,156.3,102.5,746.47,285.04,664.21,988.47,2034.65,1956.26
8.0,2230.34,937.16,237.61,125.98,145.2,92.25,730.15,486.85,861.13,1239.76,1858.3,1942.73
8.0,2523.78,946.35,259.57,134.27,157.15,95.67,635.48,513.07,812.15,1187.04,1516.03,1602.09
8.0,2558.57,999.5,254.08,136.75,169.11,100.22,714.92,229.17,478.52,766.17,1614.64,1585.38
8.0,2172.35,748.09,223.49,111.89,131.53,74.03,1269.88,647.61,823.38,1232.73,1741.68,1989.68
8.0,2250.06,820.65,238.39,119.35,138.36,83.14,961.93,677.25,923.37,1316.2,1736.94,2023.11
8.0,2760.38,843.13,242.32,121.0,165.7,93.39,825.91,640.77,639.72,1144.87,1535.94,1903.73
9.0,2282.54,1117.02,308.19,162.44,146.91,91.11,753.0,144.8,465.25,704.67,2505.86,2027.89
9.0,2149.16,907.52,235.26,130.12,137.51,88.83,1469.01,533.59,1683.49,1983.97,3328.82,2835.7
9.0,2009.98,734.8,186.64,100.28,132.39,82.0,1427.66,542.72,1397.8,1764.31,3197.04,2704.38
9.0,2682.68,803.28,225.85,115.2,163.13,100.22,940.17,693.22,1534.52,1810.0,1901.91,2028.68
9.0,2863.61,1055.7,295.64,152.5,178.51,107.05,862.91,726.28,1163.14,1611.43,1939.84,1877.47
9.0,2897.24,1018.91,279.96,142.55,189.61,110.47,852.03,402.48,757.06,1032.4,1908.55,1661.78
9.0,3092.09,1089.43,304.27,152.5,190.47,116.17,730.15,375.11,916.22,1095.66,1900.97,1679.29
9.0,3269.55,1156.88,330.14,173.22,204.13,118.44,946.7,542.72,1101.92,1341.68,1968.28,1789.12
9.0,2962.19,1111.91,303.48,156.64,207.55,116.17,605.01,367.13,865.21,1123.78,1780.56,1684.07
9.0,2969.15,1071.03,323.87,159.13,191.32,123.0,473.35,421.86,829.5,1086.88,1278.06,1354.58
10.0,2521.46,923.87,228.2,132.61,175.09,109.33,661.6,311.26,570.34,933.99,1787.19,1653.83
10.0,1976.34,832.91,196.83,114.37,146.05,92.25,696.42,337.49,647.89,1049.97,1737.89,1743.76
10.0,1579.68,693.92,152.92,94.48,114.45,76.3,639.84,364.85,758.08,1125.54,1909.5,1585.38
10.0,1322.2,569.24,123.9,75.42,96.51,66.05,721.45,454.92,1003.97,1458.54,2148.42,1543.2
10.0,1641.15,579.46,142.72,80.39,117.01,69.47,634.39,370.55,815.22,1183.53,1953.11,1563.1
10.0,1522.85,562.09,141.94,80.39,104.2,67.19,755.18,518.77,838.68,1361.89,2219.53,2099.52
10.0,1658.55,569.24,165.46,89.51,111.03,63.78,743.21,619.11,857.05,1503.35,2013.79,2163.19
10.0,1717.7,499.75,162.33,81.22,105.05,56.94,729.06,652.17,640.75,1344.32,1884.85,2234.81
10.0,2239.62,591.73,175.66,91.17,143.49,87.69,542.99,478.87,679.52,1301.27,1669.63,1664.17
10.0,2555.1,788.97,208.59,110.23,163.99,103.64,467.91,462.9,755.02,1309.17,1497.07,1427.0
11.0,2166.55,866.64,210.95,116.86,148.61,95.67,746.47,516.49,779.51,1130.81,1573.87,1590.95
11.0,2142.2,866.64,214.08,116.86,154.59,99.08,1087.07,515.35,1015.19,1387.37,2200.57,1698.39
11.0,3102.53,1023.0,261.14,140.9,203.28,148.05,454.85,194.97,626.46,944.54,1982.5,1493.06
11.0,3235.91,1470.63,321.52,183.99,246.84,191.33,531.02,177.86,802.97,890.06,1918.98,1288.52
11.0,3710.28,1702.62,352.89,207.2,271.6,190.19,512.52,259.96,824.4,1029.77,1698.07,1423.82
11.0,4570.87,1811.97,418.76,241.18,308.33,198.16,445.06,328.37,744.82,989.35,1337.79,1288.52
11.0,4138.26,1557.5,379.55,207.2,272.46,175.39,457.03,358.01,520.35,818.89,939.58,1142.87
11.0,3256.79,1621.88,344.26,204.71,240.0,165.14,349.3,286.18,375.47,617.68,1063.78,1095.12
11.0,2640.92,1314.27,256.43,158.3,199.86,136.67,429.82,282.76,512.19,845.25,1216.43,1210.52
11.0,2704.71,1026.07,245.45,142.55,175.09,115.03,381.94,254.26,417.3,690.61,1132.99,1225.65
12.0,2363.72,946.35,243.88,132.61,172.53,111.61,446.14,176.72,422.4,702.91,1658.25,1497.83
12.0,3794.95,1340.84,383.47,201.4,261.36,159.44,536.46,302.14,809.09,1093.03,1850.72,1666.56
12.0,3931.81,1707.73,430.52,235.38,275.02,175.39,911.87,415.02,841.74,1172.98,1942.68,1766.84
12.0,3348.42,1423.62,361.51,193.94,243.42,152.61,683.36,210.93,538.72,843.49,1951.22,1726.25
12.0,3428.44,1509.46,402.29,215.49,230.61,142.36,1057.69,430.98,1009.07,1359.26,2378.81,2052.56
12.0,2418.24,1288.72,317.6,175.71,173.38,118.44,733.42,462.9,770.32,1147.5,1646.87,1832.1
12.0,2556.26,984.17,252.51,137.58,176.8,109.33,845.5,328.37,546.88,864.58,1767.28,1823.35
12.0,3015.55,1136.44,305.83,164.93,199.86,124.14,735.59,467.47,820.32,1130.81,1696.17,1843.24
12.0,2998.15,1200.83,316.03,164.93,187.9,116.17,696.42,574.64,758.08,1104.45,1305.55,1614.83
12.0,2977.27,1041.4,266.63,140.07,188.76,113.89,519.05,190.41,304.05,566.72,1267.63,1511.36
13.0,3224.31,1272.36,294.86,173.22,241.71,156.03,1082.72,532.45,1565.13,2077.98,3364.85,2526.9
13.0,3666.21,1373.54,312.11,180.68,252.81,170.83,940.17,617.97,1259.04,1716.86,2754.27,2465.62
13.0,3778.71,1493.11,348.97,193.94,258.79,169.69,1091.42,609.99,1197.83,1632.51,2438.55,2232.43
13.0,3706.8,1603.49,345.04,195.6,264.77,177.66,608.28,251.98,768.28,1140.47,2274.52,1902.14
13.0,3968.92,1496.18,327.79,188.14,262.21,182.22,648.54,459.48,1114.16,1519.17,1980.61,1883.83
