ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
1.0,1173.74,662.24,105.87,68.79,103.35,79.72,867.26,965.71,1067.23,1961.12,1787.19,2420.25
1.0,1143.59,656.11,102.73,70.45,95.66,72.89,956.49,1050.09,1220.27,2116.64,1885.8,2538.84
1.0,993.97,568.22,91.75,63.82,80.29,68.33,943.43,835.74,966.22,1911.92,2232.8,2989.3
1.0,764.32,501.79,76.85,51.39,67.47,55.81,1171.94,1219.97,1325.36,2392.54,2261.25,3037.85
1.0,628.63,436.39,64.3,43.93,58.93,50.11,1084.89,1032.98,1232.52,2175.51,2392.09,3118.23
1.0,687.78,426.17,65.09,43.93,62.35,50.11,1030.48,974.84,1204.97,2146.52,2426.22,3245.57
1.0,684.3,422.08,66.66,43.93,62.35,50.11,1268.79,1395.56,1477.39,2812.53,2667.99,3502.64
1.0,707.49,434.34,69.79,45.58,66.62,52.39,1185.0,1403.54,1359.03,2801.1,2558.01,3551.19
1.0,821.16,473.18,73.71,49.73,77.72,59.22,643.1,1069.47,1155.99,2394.29,2239.44,2926.43
1.0,851.31,468.07,77.63,50.56,75.16,56.94,402.62,950.89,1046.82,2240.53,1788.14,2396.38
2.0,1205.06,624.43,98.02,64.65,100.78,78.58,766.06,867.66,1016.21,1895.23,1879.16,2476.76
2.0,1249.13,675.53,106.65,72.11,99.93,76.3,772.59,838.02,938.67,1933.01,2039.39,2744.97
2.0,1106.47,536.54,91.75,59.67,85.41,66.05,1210.03,1058.07,1032.54,2224.72,2432.86,3341.87
2.0,1013.69,587.64,87.83,62.16,85.41,66.05,1263.35,1291.8,966.22,2547.18,2744.79,3906.15
2.0,962.66,531.43,76.07,57.19,84.56,64.92,941.25,1158.4,1032.54,2338.94,2539.05,3609.29
2.0,923.22,483.4,76.85,52.21,73.45,54.67,1169.77,1427.48,1128.45,2608.68,2610.15,3812.24
2.0,929.02,479.31,76.07,52.21,74.31,53.53,598.49,1017.02,897.86,2008.57,2174.02,2939.96
2.0,840.87,386.31,69.01,43.93,64.06,46.69,1414.6,1466.24,1178.44,2838.89,2710.65,3899.78
2.0,893.07,366.89,66.66,41.44,71.74,51.25,605.01,1103.67,1169.26,2664.92,2478.37,3219.31
2.0,923.22,413.9,72.15,45.58,74.31,55.81,1117.54,1408.1,1519.22,2914.45,2347.53,2989.3
3.0,850.15,546.76,74.5,53.87,79.43,71.75,497.29,863.1,538.72,1093.91,891.23,1706.35
3.0,768.96,521.21,78.42,55.53,64.91,55.81,660.51,1015.88,628.5,1652.72,1827.96,3381.67
3.0,540.48,362.8,53.33,38.12,52.1,44.42,690.98,1291.8,797.87,2099.07,2376.92,4485.55
3.0,640.22,376.09,58.81,39.78,53.81,43.28,675.74,1310.04,856.03,2312.58,3169.54,5354.64
3.0,731.85,373.02,60.38,40.61,64.06,48.97,491.85,1094.55,956.02,2548.94,3453.03,5427.06
3.0,745.77,337.25,56.46,37.3,58.93,43.28,361.27,1322.58,831.54,2157.06,2578.87,4025.53
3.0,755.05,330.1,58.81,38.12,57.22,41.0,557.14,978.26,821.34,2002.42,2409.15,3505.82
3.0,533.52,226.88,48.62,29.01,44.41,33.03,387.38,871.08,840.72,1877.65,1680.06,2666.18
3.0,577.59,308.64,47.84,32.32,55.52,48.97,322.09,774.17,754.0,1777.49,1590.93,1863.94
3.0,397.82,295.35,43.91,31.49,41.0,39.86,340.59,638.49,656.05,1245.91,971.82,1421.43
4.0,1513.57,694.95,108.22,76.25,128.97,95.67,887.94,713.74,792.77,1863.6,2332.36,3082.42
4.0,1397.59,626.47,97.24,67.96,108.47,80.86,1081.63,933.79,1018.25,2353.0,2994.14,3790.75
4.0,1160.99,541.65,90.97,61.33,87.12,62.64,1100.13,1340.83,1277.41,3332.68,3834.17,4817.42
4.0,1050.8,468.07,79.2,51.39,76.87,54.67,1206.76,1679.45,1634.51,4484.58,4706.43,5653.09
4.0,911.62,395.51,70.58,44.76,66.62,47.83,1253.56,2006.68,1890.61,4895.78,4744.35,5800.33
4.0,937.14,407.77,70.58,45.58,70.04,50.11,745.39,1866.44,2011.0,5228.79,4877.09,5190.69
