ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
6.0,1528.65,572.31,85.48,62.99,122.14,87.69,571.28,1678.31,4693.36,7771.57,5988.28,5267.89
6.0,1370.91,516.1,79.99,58.84,111.89,82.0,504.9,1116.22,3904.67,6538.84,5248.75,4967.84
6.0,1000.93,485.44,68.22,51.39,95.66,75.17,486.41,1585.96,4357.68,7285.68,5570.16,4697.25
6.0,946.42,390.4,60.38,43.93,77.72,56.94,634.39,1681.74,3927.11,6865.69,4994.66,4641.54
6.0,1134.31,384.26,61.95,43.93,95.66,69.47,430.91,1245.05,3604.7,6157.51,4457.08,3921.27
6.0,1317.56,422.08,66.66,47.24,109.33,77.44,428.73,945.19,3139.45,5282.38,3955.53,3342.67
7.0,1774.53,549.83,95.67,70.45,140.93,91.11,662.69,1670.33,3725.1,5695.35,4148.94,3654.65
7.0,1693.35,473.18,89.4,62.99,127.26,78.58,562.58,1215.41,3589.4,5104.9,3778.23,2865.94
7.0,1557.65,465.0,81.56,57.19,119.57,76.3,458.11,1169.8,3620.01,5495.02,4144.2,3234.43
7.0,1515.89,486.46,83.91,59.67,116.16,74.03,639.84,1265.58,3286.37,4808.8,3271.94,2559.53
7.0,1340.76,400.62,69.79,48.9,105.05,68.33,627.87,1443.44,3738.36,5690.95,3949.84,2840.47
7.0,1334.96,382.22,65.87,45.58,104.2,68.33,612.63,1345.39,3791.42,5382.55,4093.95,2849.23
7.0,1287.41,380.18,64.3,44.76,102.49,68.33,776.94,1599.64,3978.13,5869.32,4368.9,3313.22
7.0,1245.65,364.85,61.17,43.1,99.93,67.19,525.58,1639.55,4846.4,6430.77,4239.96,2788.74
7.0,1261.89,343.39,58.03,40.61,101.64,70.61,647.45,1331.71,4755.59,5882.5,3963.11,2385.23
7.0,1484.58,460.91,73.71,53.04,121.28,88.83,509.26,1140.16,3715.91,4801.77,3074.73,1992.87
8.0,1982.14,636.69,108.22,77.08,150.32,95.67,820.47,1743.3,4183.21,6458.88,4452.34,4124.22
8.0,1998.38,579.46,105.87,73.76,146.91,89.97,1103.39,1860.74,4550.51,7150.37,4996.55,4978.99
8.0,1641.15,476.24,87.83,60.5,118.72,72.89,862.91,1829.96,5306.55,8102.82,6340.03,5783.62
8.0,1514.73,432.3,83.91,55.53,109.33,64.92,1077.27,2307.68,6292.16,9223.08,6856.75,5762.92
8.0,1441.66,387.33,76.07,50.56,105.91,64.92,753.0,1904.07,5837.11,8585.19,6369.42,5513.81
8.0,1396.43,399.59,71.36,48.9,107.62,67.19,513.61,1697.7,5206.56,7693.37,5350.2,4242.8
8.0,1380.19,410.84,70.58,49.73,107.62,69.47,891.2,2145.78,5316.76,7869.98,5465.87,4270.66
8.0,1475.3,397.55,69.01,47.24,115.3,72.89,682.27,1601.92,5136.16,7038.79,4894.16,3206.58
8.0,1584.32,391.42,70.58,47.24,123.84,79.72,438.53,987.38,4665.81,5759.49,4152.73,2593.75
8.0,1631.87,469.09,77.63,54.7,135.8,96.8,709.48,1151.56,4666.83,5725.22,3967.85,2326.34
9.0,1927.63,574.35,105.87,78.74,166.55,117.3,420.03,875.64,2324.23,3388.04,2192.04,1387.21
9.0,1796.57,573.33,122.33,93.65,165.7,123.0,681.19,978.26,2614.0,4004.84,2960.96,2221.28
9.0,1506.61,485.44,109.0,81.22,129.82,86.55,650.72,1427.48,3625.11,5462.51,3452.08,2656.63
9.0,796.8,288.2,79.99,58.84,95.66,46.69,831.35,2474.15,5862.61,8670.42,6124.81,4861.2
9.0,673.86,160.45,66.66,47.24,67.47,41.0,569.11,1853.9,5610.6,8667.79,5734.18,4631.19
