ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red,Etiqueta
1.0,7708.432000000001,2248.149,675.423,379.67299999999994,487.521,277.89,89.88399999999999,72.514,247.11399999999998,342.142,358.2,179.79000000000002,
2.0,3086.996,824.3299999999999,249.92399999999998,147.11499999999998,204.04500000000002,115.03,149.73399999999998,83.23,328.73699999999997,470.07,626.4150000000001,343.34,
3.0,1406.174,505.367,120.53399999999999,74.756,94.81,55.81,213.28000000000003,112.53799999999998,579.53,797.718,1032.968,550.105,
4.0,902.9200000000001,324.887,82.96400000000001,49.480999999999995,59.79,35.31,298.47799999999995,154.034,671.452,975.818,1239.656,777.648,
5.0,525.8639999999999,207.56199999999998,53.33,31.49,34.16,19.36,483.68500000000006,229.62599999999998,885.314,1368.834,2025.261,1470.215,
6.0,461.95799999999997,159.02100000000002,40.701,24.04,29.889999999999997,15.940000000000001,625.363,343.76,1188.334,2038.006,2608.921,2008.309,
7.0,254.0,117.122,28.940999999999995,17.4,16.23,9.11,1269.225,651.828,2206.798,3493.4730000000004,5782.063,3825.7659999999996,
8.0,209.93,85.43799999999999,20.39,12.43,13.669999999999998,7.970000000000001,3289.496,1797.346,4807.936,7833.428999999999,9507.102,7914.966,
