ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
1.0,1178.38,609.1,101.94,66.3,93.1,69.47,816.12,1234.79,811.13,2135.97,1685.74,2715.52
1.0,1137.79,579.46,99.59,64.65,87.12,66.05,800.88,995.36,779.51,1959.37,1872.52,2907.33
1.0,1102.99,542.67,94.89,62.99,79.43,63.78,744.3,1156.12,926.43,2266.89,2033.7,3037.05
1.0,919.74,499.75,83.91,54.7,70.04,52.39,1393.93,1524.39,1188.64,2773.87,2600.67,3709.57
1.0,780.56,458.87,73.71,48.9,64.91,50.11,933.64,1108.23,1054.98,2343.33,2348.47,3322.77
1.0,627.47,396.53,62.74,41.44,55.52,45.56,882.49,1257.6,1262.1,2473.37,2177.81,3013.18
1.0,610.07,368.93,56.46,38.12,57.22,46.69,1204.59,1404.68,1609.0,2726.42,2423.38,3121.42
1.0,681.98,381.2,62.74,40.61,62.35,51.25,767.15,814.07,1047.84,1975.18,2312.45,3002.83
1.0,707.49,407.77,68.22,43.93,64.91,54.67,513.61,890.46,1325.36,2266.89,2091.54,2582.61
1.0,815.36,476.24,77.63,49.73,73.45,61.5,862.91,1230.23,1568.19,2570.02,1912.34,2334.3
2.0,1208.54,718.45,111.36,76.25,101.64,79.72,804.15,778.73,880.51,1675.57,1817.53,2421.05
2.0,1065.88,594.79,99.59,67.13,83.7,63.78,725.8,824.34,880.51,1704.56,1840.29,2453.68
2.0,992.81,494.64,86.26,56.36,75.16,55.81,1732.34,1346.53,917.24,2440.86,2730.56,3815.42
2.0,894.23,438.43,77.63,49.73,66.62,50.11,1087.07,1076.31,997.85,2641.19,3115.5,4365.37
2.0,906.98,462.96,78.42,51.39,70.04,52.39,2227.46,2646.31,1506.98,4431.86,3403.72,5127.82
2.0,905.82,415.95,72.93,48.07,65.77,50.11,1202.41,1490.19,1378.42,3362.56,3727.98,5002.07
2.0,803.76,385.29,66.66,42.27,62.35,45.56,872.7,2259.8,1213.13,4071.62,3138.25,4681.33
2.0,763.17,362.8,64.3,40.61,62.35,47.83,516.87,1198.31,1009.07,2562.11,2526.72,3407.93
2.0,861.75,403.68,67.44,43.1,70.89,52.39,245.92,564.38,769.3,1897.86,1867.78,2303.26
2.0,882.63,416.97,72.15,45.58,72.6,55.81,360.18,653.31,966.22,1775.73,1670.57,1987.3
3.0,796.8,534.5,81.56,55.53,71.74,64.92,504.9,796.97,551.98,1274.91,1056.2,2188.65
3.0,822.32,498.73,72.93,51.39,70.89,58.08,463.55,725.14,533.61,1232.73,1555.85,3028.3
3.0,531.2,348.5,58.81,39.78,48.68,37.58,610.46,1083.15,876.43,2201.87,2918.29,4733.06
3.0,650.66,329.08,55.68,37.3,55.52,43.28,702.95,1522.11,938.67,2543.66,3405.62,5684.93
3.0,665.74,343.39,58.03,38.12,54.66,41.0,548.43,1392.13,969.28,2738.72,3499.48,5607.73
3.0,715.61,321.92,55.68,36.47,58.08,43.28,416.76,1151.56,952.96,2488.31,3122.13,4527.73
3.0,719.09,318.86,55.68,35.64,55.52,42.14,310.12,597.44,740.73,1755.52,2067.83,3012.38
3.0,635.58,322.95,56.46,36.47,51.25,38.72,287.27,698.92,658.09,1657.12,1645.92,2316.79
3.0,560.2,249.36,45.48,29.01,49.54,43.28,470.08,1134.46,906.02,1999.78,1680.06,2315.2
3.0,560.2,358.71,52.54,36.47,54.66,51.25,300.33,622.53,695.84,1371.56,1028.7,1153.22
4.0,1396.43,709.25,110.57,75.42,111.89,84.28,692.07,729.7,1037.64,2476.89,2718.24,3154.05
4.0,1206.22,641.8,99.59,67.96,98.22,77.44,1083.8,997.64,1244.76,3224.61,3340.2,3861.58
4.0,1039.2,559.02,85.48,58.84,79.43,61.5,736.68,981.68,1465.14,3915.22,4005.77,4400.39
4.0,904.66,506.9,82.34,54.7,70.89,53.53,1546.27,1437.74,1700.83,4565.41,5152.99,5614.89
4.0,838.55,426.17,72.15,46.41,64.91,48.97,1114.27,1532.37,2331.37,4964.32,4674.19,4461.67
4.0,839.71,383.24,65.87,42.27,64.06,46.69,701.86,1541.5,1786.54,4395.84,4094.9,4678.15
4.0,903.5,397.55,66.66,43.1,70.89,52.39,1059.86,1684.02,1478.41,4052.29,3616.1,4785.59
4.0,934.82,396.53,65.87,43.1,72.6,53.53,630.04,1053.51,1303.94,2996.16,2992.24,3609.29
4.0,1011.37,401.64,67.44,43.93,79.43,59.22,356.92,664.71,916.22,2153.55,2207.21,2911.31
4.0,1111.11,428.21,72.15,46.41,88.83,67.19,400.44,735.4,887.66,2070.08,1916.14,2438.56
5.0,1639.99,772.62,113.71,84.54,137.51,107.05,716.01,990.8,2218.12,4321.15,3734.61,3302.88
5.0,993.97,549.83,80.77,62.99,93.1,77.44,700.77,1190.33,2608.89,4842.19,3983.97,3345.85
5.0,1142.43,414.92,70.58,53.87,100.78,71.75,828.09,1290.66,2139.56,4842.19,4889.42,4868.36
5.0,1092.56,305.57,72.15,52.21,95.66,61.5,768.24,1554.04,2181.39,5075.03,5254.44,5223.32
5.0,987.01,265.71,67.44,49.73,94.81,60.36,866.17,2059.13,2397.69,5765.64,5810.03,5890.26
5.0,801.44,220.75,57.25,40.61,71.74,47.83,733.42,1756.99,2800.71,6323.57,5853.65,4991.72
5.0,800.28,238.12,50.97,33.98,67.47,50.11,684.45,1678.31,2556.86,5673.38,5190.92,5208.2
5.0,1076.32,306.59,58.03,40.61,87.97,63.78,421.12,1175.5,2174.25,4710.39,4304.43,4051.79
5.0,1093.72,342.36,58.03,39.78,85.41,60.36,216.54,745.66,1351.89,2927.63,1859.25,2015.95
5.0,1314.08,327.03,69.01,47.24,105.91,75.17,293.8,1020.44,1800.82,3735.1,2461.3,1710.33
