ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
6.0,2969.15,1082.28,292.5,153.33,192.17,119.58,1179.56,508.51,972.34,1341.68,2192.04,2147.27
6.0,2781.26,1075.12,280.74,149.18,183.63,119.58,1050.07,442.38,773.38,1206.37,2280.21,2216.51
6.0,2005.34,1088.41,252.51,144.21,135.8,89.97,899.9,467.47,1119.26,1397.92,2101.97,1902.14
6.0,1772.21,920.8,201.54,121.83,133.24,96.8,1167.59,522.19,1176.4,1345.2,2031.8,1571.85
6.0,1607.52,789.99,182.72,102.77,122.99,92.25,442.88,250.84,719.31,887.43,1376.66,1296.48
7.0,2739.51,1133.38,330.14,165.76,165.7,96.8,719.27,367.13,690.74,925.21,1668.68,1481.12
7.0,1997.22,856.42,258.0,128.46,113.6,60.36,734.51,345.47,665.23,861.95,1622.22,1461.22
7.0,1029.93,453.76,159.98,77.08,58.93,33.03,473.35,149.36,360.16,579.9,1509.4,1767.64
7.0,1018.33,393.46,132.53,65.47,64.06,37.58,1261.17,753.65,1046.82,1566.62,2358.9,2382.05
7.0,1225.94,397.55,121.55,61.33,81.14,47.83,1208.94,417.3,1102.94,1410.22,2866.14,2323.16
7.0,1380.19,440.47,116.84,60.5,88.83,55.81,988.05,659.01,1478.41,1730.92,2209.1,1991.28
7.0,2045.93,621.36,170.95,86.19,124.7,76.3,759.53,550.7,926.43,1281.94,1761.59,1717.5
7.0,2261.66,850.29,221.14,117.69,150.32,94.53,773.68,346.61,808.07,1118.51,2041.29,1815.39
7.0,2567.85,958.62,236.83,125.15,167.4,105.92,649.63,367.13,1012.13,1274.03,1944.58,1590.16
7.0,3259.11,1186.52,320.73,164.93,206.69,126.42,528.84,315.82,760.12,964.75,1455.35,1329.91
8.0,2225.71,1038.33,266.63,144.21,149.47,92.25,1232.88,521.05,982.54,1332.02,2218.58,2108.27
8.0,2029.69,887.08,217.22,118.52,140.93,91.11,844.41,368.27,806.03,1153.65,2158.85,2093.15
8.0,2160.75,869.7,226.63,118.52,136.66,86.55,624.6,435.54,876.43,1224.82,1774.87,1769.23
8.0,2241.94,882.99,230.55,122.66,145.2,91.11,1092.51,571.22,981.52,1337.29,1924.67,1728.64
8.0,2087.69,864.59,222.71,117.69,136.66,84.28,387.38,165.32,470.36,696.76,1331.15,1414.27
8.0,2066.81,629.54,212.52,104.43,122.99,68.33,816.12,395.64,760.12,1014.83,1606.1,1676.91
8.0,2291.82,863.57,238.39,122.66,148.61,92.25,951.05,651.03,1028.46,1354.86,1668.68,1761.27
8.0,2823.02,893.21,244.67,125.15,179.36,104.78,651.81,454.92,677.48,1004.29,1403.21,1598.91
8.0,3401.77,1104.76,299.56,152.5,210.96,128.69,484.23,354.59,612.18,865.46,1262.89,1383.23
8.0,4447.93,1669.91,454.83,235.38,293.81,175.39,490.76,417.3,671.35,925.21,1170.92,1295.68
9.0,2701.23,892.19,239.96,125.15,171.67,107.05,1018.51,442.38,1101.92,1375.07,2237.55,1929.2
9.0,3610.54,1196.74,320.73,169.9,235.73,145.78,549.52,429.84,976.42,1156.29,1260.04,1451.67
9.0,4167.25,1367.41,407.78,209.69,258.79,150.33,932.55,602.0,933.57,1323.23,1787.19,1610.85
